Fly,Pre Opto Forward Velocity ,Opto On Forward Velocity,Pre Opto Rotational Speed,Opto On Rotational Speed,Pre Opto Forward Acceleration,Opto On Forward Acceleration,Pre Opto Rotational Acceleration ,Opto On Rotational Acceleration,Moving Percentage,,,
1,8.4407,6.4042,66.5745,145.1049,-0.000025377,-0.000098299,0.0013718,0.0031255,36.7089,,,
2,7.9045,5.1578,65.4342,142.6194,0.000032577,-0.00026203,0.00031371,0.0053676,78.481,,,
3,6.9696,7.03,72.5861,69.0897,0.000050909,0.00013741,0.0014192,-0.00064875,40.506,,,
4,4.2485,3.9285,74.3008,70.6132,-0.000026804,0.00013311,-0.00025919,0.00020323,16.456,,,
5,6.332,7.0899,52.7473,52.3753,4.0787E-07,-0.000047407,0.000079212,0.0008182,54.43,,,
6,4.7738,6.3986,84.321,66.5129,0.000039028,-3.5646E-06,-0.000094001,-0.0014147,54.43,,,
7,6.3552,7.1755,57.0148,110.5166,0.000058933,-0.00019323,-0.0002267,0.0056874,54.43,,,
8,5.2995,4.3299,80.921,76.7785,-0.00007964,-0.000073621,-0.0020694,0.001025,29.114,,,
12,5.0658,4.5647,84.5306,81.4162,-0.000064371,0.000057401,-0.000019799,0.00022674,27.848,,,
14,5.9842,2.0206,41.4894,105.7223,2.6145E-07,-0.00021792,0.00015489,0.0043135,30.38,,,
15,5.0743,6.0477,78.3546,36.8003,0.000071602,0.000018166,-0.0025476,0.00064447,15.19,,,
16,8.1543,6.6365,81.9934,131.832,3.5229E-06,-0.00002695,0.0013134,0.0040093,53.165,,,
17,5.1725,4.2245,50.7559,69.6163,-0.00012295,0.000025844,-0.00042013,0.0017689,17.722,,,
18,6.0571,5.8864,67.4907,89.9077,-0.000052589,-0.00011704,-0.00057628,0.0049813,67.089,,,
19,7.6378,5.1237,62.2505,127.8113,-0.000092359,-0.00015239,-0.00051069,0.0052461,64.557,,,
20,5.7029,5.6607,62.0966,83.4093,0.000085361,-0.000058033,-0.00072078,0.0041332,29.114,,,
21,4.7359,2.352,57.0541,99.0412,-0.000033108,-0.00008708,-0.000060981,0.0027563,50.633,,,
23,4.5979,1.9076,48.7572,94.0559,-0.000014697,-0.0001286,0.0016601,0.0040969,27.848,,,
24,5.7255,6.3532,69.6166,93.4736,0.000046913,-0.000011461,-5.7847E-06,0.0020424,62.025,,,
25,7.4997,7.9916,76.8334,85.7773,0.000024691,3.1914E-06,0.00045512,0.0014776,67.089,,,
26,7.5135,4.8125,95.4579,146.7991,0.000018939,-0.00020678,-0.00044095,-0.00020678,82.278,,,
27,4.0098,2.5234,77.197,70.8757,0.000015769,-0.00010291,-0.0028285,-0.00010291,11.392,,,
29,5.5602,1.5648,54.1717,90.2082,-0.000024029,-0.00013932,0.0011268,0.0023323,25.316,,,
31,4.1162,0.97079,47.6149,103.8655,0.000049976,-0.00016822,0.0010296,0.0023233,12.658,,,
34,4.3834,2.8527,41.3409,62.6937,-0.000060037,-0.000094558,-0.000082105,0.0018039,20.253,,,
35,4.233,5.8826,44.0757,25.164,-0.00003645,0.000072947,0.00057421,-0.00087621,12.658,,,
39,5.2396,3.8656,52.6416,51.7535,-5.5864E-07,0.00092619,-0.0004981,-0.00015942,25.316,,,
40,6.4795,4.1951,46.3924,92.1665,0.000063889,-0.00014262,-0.00055238,0.0030865,56.962,,,
44,4.8561,1.9019,70.6738,128.6426,0.00012649,-0.00021078,-0.0022988,0.003434,13.924,,,
46,4.2652,0.5705,66.0758,102.0053,0.000020036,-0.00027407,-0.001108,0.0064495,17.722,,,
50,5.296,3.7887,62.2587,55.5639,-5.4229E-06,0.000013342,-0.001206,0.0012386,18.987,,,
52,4.5449,2.3947,52.8595,66.3432,-0.000075445,-0.00004491,0.0012691,-0.00059465,31.646,,,
53,5.3103,5.5819,64.1668,94.9409,0.000069178,-0.000024838,0.00013402,0.0039519,41.772,,,
54,4.7889,6.4879,69.9815,57.0609,0.000064817,-0.000031135,-0.0005659,0.0008391,40.506,,,
57,5.4868,7.2194,81.4892,89.365,0.000043932,-0.000065225,0.00013289,0.0016872,27.848,,,
58,5.0647,6.5532,92.1769,127.5356,-0.000037095,0.00019489,0.0017976,0.0012718,21.519,,,
59,5.9349,4.6643,40.8399,52.6536,-0.000060213,0.000013777,0.00018932,0.00032199,29.114,,,
62,4.2059,2.4941,52.318,71.5211,0.000034745,-0.00020845,0.000021805,0.0021663,30.38,,,
63,5.9201,4.8941,60.5705,65.018,9.4289E-06,-0.000025564,-0.00070155,0.0013079,27.848,,,
65,5.016,2.943,72.85,113.5499,-8.9265E-06,-0.000023133,0.00054182,0.0041707,13.924,,,
66,5.1974,4.3015,85.9058,90.8817,0.000089395,-0.00012906,0.000013316,0.0025047,10.127,,,
69,5.0675,7.647,53.3947,47.6175,8.0955E-06,0.00021931,-0.0007239,0.0005379,12.658,,,
70,5.7816,4.9302,45.5689,106.0135,0.00004588,-0.00024376,0.0009763,0.0010246,11.392,,,
72,6.7619,4.1409,48.6965,112.3135,-0.000024719,-0.00017753,0.0016615,0.005188,29.114,,,
73,5.9169,2.638,52.4659,112.5956,0.000016983,-0.00020937,0.000034935,0.005355,30.38,,,
74,4.0952,5.2985,70.7628,113.841,0.0001047,0.000099383,0.0024907,0.0045647,15.19,,,
75,9.9971,3.3411,31.2541,138.3437,0.000010765,-0.00024257,0.00014982,0.0034054,48.101,,,
77,6.3354,4.3056,64.8222,136.1078,-0.000055017,0.000042978,0.00092967,0.0041016,21.519,,,
79,9.9331,8.1785,81.6965,136.6523,-0.000024382,-0.000078269,0.00085081,0.0039703,75.949,,,
80,6.5032,9.1243,76.9526,75.8414,-9.0106E-07,0.00021389,0.00044983,0.00071932,60.759,,,
81,4.9304,1.2045,52.4391,103.2694,-0.000014292,-0.00015915,-0.00024404,0.0062571,43.038,,,
84,4.908,2.0642,35.3901,117.3015,0.000022256,-0.0001765,-0.0008503,0.0043781,48.101,,,
85,8.0944,4.3095,69.1728,161.3728,0.000017544,-0.00014976,-0.00052868,0.0085304,35.443,,,
87,4.8484,1.6266,33.0326,115.8115,0.00007466,-0.00018516,0.00053645,0.0070591,12.658,,,
88,7.213,5.9775,37.7851,49.8744,0.000026648,-0.000049172,0.00035085,0.00094525,12.658,,,
89,5.2399,5.0135,73.1921,77.5452,-0.000043779,0.000072567,0.0001768,-0.00051212,36.709,,,
90,7.895,4.6494,83.2927,129.244,-0.000013257,-0.000091743,-0.00013083,0.0058388,78.481,,average,median
91,6.8963,9.7562,92.4583,75.2947,0.000031069,0.000069835,-0.00059018,-0.00014114,73.418,,35.86493788,29.747
93,4.0157,3.6355,45.459,50.9597,-0.000011409,-0.000061303,0.0015493,0.0001169,12.658,,,
96,5.8182,4.1237,75.2845,100.7579,-0.000053654,-0.000097866,-0.0008183,0.0015755,51.899,,,
99,7.1526,5.687,58.4007,72.4726,-0.00010173,0.000073138,0.00027613,0.0010803,21.519,,,
100,5.9098,6.8785,54.0808,65.668,-0.000076274,0.000062099,0.00072647,0.0030686,13.924,,,
101,8.9363,5.7696,57.1244,71.7467,0.000058806,-0.00017785,0.00054513,0.00097383,46.835,,,
102,7.0496,6.6614,80.4476,114.8039,-0.000096853,0.000133,0.00072073,0.00075031,51.899,,,
103,4.7792,5.9875,70.1042,73.8908,-0.000047101,0.00010361,-0.00052061,0.0003077,22.785,,,
105,6.0228,3.3385,64.802,106.3559,0.000066763,-0.000072958,0.00079726,0.003169,50.633,,,
