Fly,Pre Opto Forward Velocity,Opto On  Forward Velocity,Pre Opto Rotational Speed,Opto On Rotational Speed,Pre Opto Forward Acceleration,Opto On Forward Acceleration,Pre Opto Rotational Acceleration,Opto On Rotational Acceleration,Genotype
1,3.6981,4.5444,66.2542,73.4365,0.0046279,0.0019464,0.013916,0.029643,VT x HfACR
5,4.8577,7.2346,88.6533,65.1813,0.0020345,0.00070427,-0.0014555,-0.021357,VT x HfACR_wiggle
6,5.2219,4.1808,66.7796,66.7632,0.0022475,-0.0032346,-0.016568,-0.0017528,VT x HfACR
9,7.2688,3.1926,45.0764,62.7789,-0.00013654,-0.0068279,-0.016849,0.0407,VT x HfACR
10,6.1439,12.3259,92.5288,63.8738,0.0041649,0.0070981,0.0016261,-0.046275,VT x HfACR_wiggle
13,4.851,4.698,51.2845,69.6975,0.0049953,-0.0029638,-0.0013451,-0.00532,VT x HfACR
14,5.2278,9.4092,75.9012,57.4055,0.001909,0.0048391,-0.0058294,-0.012859,VT x HfACR_wiggle
16,3.2574,6.1125,64.4346,54.5039,0.0034417,0.00041094,0.0065123,0.022731,VT x HfACR_wiggle
17,2.3347,3.9461,75.0356,45.4334,0.0013522,0.0037749,-0.019492,0.0057982,VT x HfACR
24,6.9428,4.1092,34.9593,58.1191,0.0010883,-0.0084152,0.01786,0.093882,VT x HfACR
26,5.2884,4.7963,65.8074,58.3803,0.0014708,-0.0005525,-0.015587,0.016306,VT x HfACR
27,3.7479,8.9465,86.5156,49.6673,0.0016784,0.012348,0.017671,-0.064403,VT x HfACR_wiggle
28,6.5511,8.8795,67.2873,66.0075,0.002881,0.0027389,0.018118,0.0071533,VT x HfACR
32,3.9187,9.7227,56.65,46.7691,0.0007862,0.0072738,-0.0034337,-0.041171,VT x HfACR_wiggle
34,5.4977,9.5233,98.7723,74.246,0.0012728,0.0078804,0.010932,-0.032312,VT x HfACR_wiggle
36,5.4426,6.3947,68.4806,72.2245,0.0027244,-0.0026157,-0.013197,0.033952,VT x HfACR
3,5.2033,4.1884,75.5102,74.043,0.0037867,-0.0064821,-0.018171,0.098636,VT x GFP
7,3.0328,1.1677,61.6066,69.8478,0.0021901,-0.0046335,0.029048,-0.031376,VT x GFP
11,3.6643,4.8639,68.2137,67.1693,0.002493,-0.0022972,0.0080577,0.044843,VT x GFP
12,4.7981,3.5934,57.9238,63.3269,0.00080076,-0.0030573,0.014917,0.032798,VT x GFP
15,2.64,6.8968,55.2074,41.2954,0.0047229,-0.0016548,0.023904,-0.019806,VT x GFP
18,2.7266,3.2844,73.4229,62.97,0.0010177,-0.00014672,0.024719,0.0034257,VT x GFP
23,1.6855,4.7,50.0126,56.0774,0.0010741,0.002492,0.005679,-0.018628,VT x GFP
25,2.5929,6.1423,81.314,52.7196,0.0026505,-0.00034673,-0.0078256,-0.087397,VT x GFP
29,2.239,4.6523,75.6331,52.9496,0.0010233,0.00055526,0.0012232,-0.017984,VT x GFP
37,5.5568,4.3223,73.8208,84.1047,0.002555,-0.0042917,-0.014455,0.044435,VT x GFP
38,5.4961,8.2017,63.9836,59.9896,0.003401,0.00052738,-0.028959,0.032796,VT x GFP
8,2.5724,2.6143,46.5992,50.6203,0.0034074,-0.00161,0.017504,0.0027809,HfACR x empty
22,6.0562,5.8659,55.8608,69.5808,0.0024811,-0.0073153,0.016612,0.095393,HfACR x empty
30,4.0021,5.8627,52.5747,54.4106,0.000056264,0.0010418,-0.0084566,0.018885,HfACR x empty
31,3.9565,9.3932,92.3892,51.6544,0.0036196,0.0061536,-0.028455,-0.041023,HfACR x empty
35,3.5361,4.2915,58.4479,65.3125,0.0038404,-0.007038,-0.012156,0.041308,HfACR x empty
39,6.8577,4.2125,77.7966,71.4532,0.0020957,-0.0088274,0.013992,0.02243,HfACR x empty
1,3.6981,4.5444,66.2542,73.4365,0.0046279,0.0019464,0.013916,0.029643,VT x HfACR_pooled
5,4.8577,7.2346,88.6533,65.1813,0.0020345,0.00070427,-0.0014555,-0.021357,VT x HfACR_pooled
6,5.2219,4.1808,66.7796,66.7632,0.0022475,-0.0032346,-0.016568,-0.0017528,VT x HfACR_pooled
9,7.2688,3.1926,45.0764,62.7789,-0.00013654,-0.0068279,-0.016849,0.0407,VT x HfACR_pooled
10,6.1439,12.3259,92.5288,63.8738,0.0041649,0.0070981,0.0016261,-0.046275,VT x HfACR_pooled
13,4.851,4.698,51.2845,69.6975,0.0049953,-0.0029638,-0.0013451,-0.00532,VT x HfACR_pooled
14,5.2278,9.4092,75.9012,57.4055,0.001909,0.0048391,-0.0058294,-0.012859,VT x HfACR_pooled
16,3.2574,6.1125,64.4346,54.5039,0.0034417,0.00041094,0.0065123,0.022731,VT x HfACR_pooled
17,2.3347,3.9461,75.0356,45.4334,0.0013522,0.0037749,-0.019492,0.0057982,VT x HfACR_pooled
24,6.9428,4.1092,34.9593,58.1191,0.0010883,-0.0084152,0.01786,0.093882,VT x HfACR_pooled
26,5.2884,4.7963,65.8074,58.3803,0.0014708,-0.0005525,-0.015587,0.016306,VT x HfACR_pooled
27,3.7479,8.9465,86.5156,49.6673,0.0016784,0.012348,0.017671,-0.064403,VT x HfACR_pooled
28,6.5511,8.8795,67.2873,66.0075,0.002881,0.0027389,0.018118,0.0071533,VT x HfACR_pooled
32,3.9187,9.7227,56.65,46.7691,0.0007862,0.0072738,-0.0034337,-0.041171,VT x HfACR_pooled
34,5.4977,9.5233,98.7723,74.246,0.0012728,0.0078804,0.010932,-0.032312,VT x HfACR_pooled
36,5.4426,6.3947,68.4806,72.2245,0.0027244,-0.0026157,-0.013197,0.033952,VT x HfACR_pooled